,indexID,time,N,Inf_L,Inf_H,Dead_L,Dead_H,cum_cases_L,cum_cases_H,cum_sum_per_N,Exposed_L,Exposed_H,Sus_L,Sus_H,Rec_nat_L,Rec_nat_H,Rec_vax_L,Rec_vax_H,vaccinatedH,vaccinatedL,boostedH,boostedL,count_Naive,count_Delta,count_Delta_vaccine,count_two,count_three,count_four,count_Omicron,count_Omicron_star,count_Omicron_star_vaccine,count_Omicron_vaccine,count_Vaccine,count_WT,count_WT_vaccine,count_WT_vaccine_boost,count_Omicron_vaccine_boost,count_Delta_vaccine_boost,count_Omicron_star_vaccine_boost,count_Vaccine_boost
0,3051,1.2360732669706271,99996,9,5,0,0,10,5,0.0001500060002400096,16,21,49972,49972,1,0,0,0,0,0,0,0,99995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3051,2.0772461280167085,99996,10,7,0,0,13,8,0.00021000840033601344,15,18,49970,49972,3,1,0,0,0,0,0,0,99992,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2,3051,3.0644287184360977,99996,11,5,0,0,16,8,0.00024000960038401536,15,19,49967,49971,5,3,0,0,0,0,0,0,99988,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
3,3051,4.035556045761653,99996,11,9,0,0,17,13,0.0003000120004800192,14,15,49967,49970,6,4,0,0,0,0,0,0,99986,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
4,3051,5.002199764541552,99996,16,14,0,0,23,21,0.00044001760070402814,11,10,49964,49967,7,7,0,0,0,0,0,0,99982,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
5,3051,6.128175719033842,99996,17,15,0,0,26,25,0.0005100204008160326,9,7,49963,49966,9,10,0,0,0,0,0,0,99977,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
6,3051,7.022179746775587,99996,15,14,0,0,28,27,0.0005500220008800352,8,7,49962,49964,13,13,0,0,0,0,0,0,99970,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
7,3051,8.021267014702076,99996,15,14,0,0,31,30,0.0006100244009760391,11,7,49956,49961,16,16,0,0,0,0,0,0,99964,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
8,3051,9.030141851163247,99996,17,15,0,0,35,33,0.0006800272010880435,9,6,49955,49960,17,17,0,0,0,0,0,0,99960,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
9,3051,10.172759726131208,99996,22,13,0,0,40,34,0.0007400296011840473,7,6,49952,49959,17,20,0,0,0,0,0,0,99957,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
10,3051,11.068836335762136,99996,21,13,0,0,41,37,0.00078003120124805,8,7,49950,49955,19,23,0,0,0,0,0,0,99952,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
11,3051,12.119709505693903,99996,19,10,0,0,41,38,0.0007900316012640506,10,9,49948,49952,21,27,0,0,0,0,0,0,99946,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
12,3051,13.038198482518684,99996,18,11,0,0,43,41,0.0008400336013440538,11,7,49945,49951,24,29,0,0,0,0,0,0,99941,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
13,3051,14.131900271750139,99996,19,13,0,0,46,44,0.0009000360014400576,12,6,49941,49949,26,30,0,0,0,0,0,0,99938,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
