,indexID,time,N,Inf_L,Inf_H,Dead_L,Dead_H,cum_cases_L,cum_cases_H,cum_sum_per_N,Exposed_L,Exposed_H,Sus_L,Sus_H,Rec_nat_L,Rec_nat_H,Rec_vax_L,Rec_vax_H,vaccinatedH,vaccinatedL,boostedH,boostedL,count_Naive,count_Delta,count_Delta_vaccine,count_two,count_three,count_four,count_Omicron,count_Omicron_star,count_Omicron_star_vaccine,count_Omicron_vaccine,count_Vaccine,count_WT,count_WT_vaccine,count_WT_vaccine_boost,count_Omicron_vaccine_boost,count_Delta_vaccine_boost,count_Omicron_star_vaccine_boost,count_Vaccine_boost
0,2555,1.1321269149142759,99998,4,9,0,0,6,9,0.0001500030000600012,21,16,49972,49974,2,0,0,0,0,0,0,0,99996,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,2555,2.0045851986970247,99998,6,11,0,0,10,14,0.00024000480009600192,19,11,49970,49974,4,3,0,0,0,0,0,0,99991,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2,2555,3.099490456402021,99998,8,15,0,0,15,19,0.0003400068001360027,16,7,49968,49973,7,4,0,0,0,0,0,0,99987,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
3,2555,4.131551814075852,99998,10,16,0,0,17,20,0.00037000740014800295,15,6,49967,49973,7,4,0,0,0,0,0,0,99987,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
4,2555,5.119675991630662,99998,13,14,0,0,22,20,0.00042000840016800337,11,6,49966,49973,9,6,0,0,0,0,0,0,99983,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
5,2555,6.06520821919411,99998,10,16,0,0,22,23,0.0004500090001800036,15,3,49962,49973,12,7,0,0,0,0,0,0,99979,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
6,2555,7.065159824302017,99998,10,16,0,0,23,23,0.0004600092001840037,18,4,49958,49972,13,7,0,0,0,0,0,0,99978,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
7,2555,8.011566000344848,99998,10,16,0,0,26,24,0.000500010000200004,16,6,49957,49969,16,8,0,0,0,0,0,0,99974,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
8,2555,9.002157217365689,99998,15,14,0,0,31,24,0.0005500110002200045,14,7,49954,49968,16,10,0,0,0,0,0,0,99972,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
9,2555,10.02339246257202,99997,11,13,1,0,33,26,0.000590017700531016,13,7,49953,49966,21,13,0,0,0,0,0,0,99963,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10,2555,11.235103701663446,99997,15,12,1,0,39,27,0.0006600198005940178,10,9,49950,49963,23,15,0,0,0,0,0,0,99959,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11,2555,12.029039615848337,99997,14,14,1,0,42,30,0.0007200216006480194,9,7,49948,49962,27,16,0,0,0,0,0,0,99954,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
12,2555,13.101842399052774,99997,13,16,1,0,43,35,0.0007800234007020211,12,2,49944,49962,29,19,0,0,0,0,0,0,99949,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
13,2555,14.259613626293397,99997,12,10,1,0,46,35,0.0008100243007290219,16,5,49937,49959,33,25,0,0,0,0,0,0,99939,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
14,2555,15.00197826143604,99997,14,10,1,0,48,35,0.0008300249007470224,15,5,49937,49959,32,25,0,0,0,0,0,0,99939,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
15,2555,16.07068573150176,99997,14,12,1,0,50,38,0.0008800264007920237,14,4,49936,49957,34,26,0,0,0,0,0,0,99936,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
16,2555,17.157841738315533,99997,22,12,1,0,58,40,0.0009800294008820265,8,3,49934,49956,34,28,0,0,0,0,0,0,99934,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
17,2555,18.13761102827154,99997,23,9,1,0,61,41,0.0010200306009180275,9,4,49930,49954,36,32,0,0,0,0,0,0,99928,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
18,2555,19.005213059839758,99997,21,10,1,0,62,43,0.0010500315009450284,12,4,49926,49952,39,33,0,0,0,0,0,0,99924,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
19,2555,20.019911337891948,99997,15,9,1,0,63,44,0.0010700321009630288,12,4,49925,49951,46,35,0,0,0,0,0,0,99915,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
20,2555,21.20931712893533,99997,14,8,1,0,65,44,0.0010900327009810294,11,5,49924,49950,49,36,0,0,0,0,0,0,99911,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
21,2555,22.071687258047668,99997,13,7,1,0,68,45,0.0011300339010170304,9,6,49924,49949,52,37,0,0,0,0,0,0,99905,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
22,2555,23.058006205336913,99997,12,8,1,0,70,47,0.0011700351010530317,8,5,49923,49948,55,38,0,0,0,0,0,0,99901,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
23,2555,24.1768538708119,99997,14,9,1,0,72,49,0.0012100363010890327,7,4,49923,49947,54,39,0,0,0,0,0,0,99900,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
24,2555,25.213539686371913,99997,11,8,1,0,73,50,0.0012300369011070333,6,3,49923,49947,58,41,0,0,0,0,0,0,99894,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
25,2555,26.1465924432669,99997,10,7,1,0,73,52,0.0012500375011250337,8,3,49921,49946,59,43,0,0,0,0,0,0,99890,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
26,2555,27.179196269653904,99997,13,6,1,0,77,52,0.001290038701161035,6,3,49920,49947,59,43,0,0,0,0,0,0,99888,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
27,2555,28.1672851697348,99997,13,8,1,0,78,54,0.0013200396011880356,6,2,49919,49947,60,42,0,0,0,0,0,0,99887,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0
28,2555,29.165068338523056,99997,11,6,1,0,81,54,0.0013500405012150365,4,3,49919,49946,64,44,0,0,0,0,0,0,99880,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0
29,2555,30.069199682707,99997,12,6,1,0,83,55,0.0013800414012420372,2,2,49919,49946,65,45,0,0,0,0,0,0,99878,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
30,2555,31.02719051829214,99997,11,6,1,0,83,56,0.0013900417012510376,6,1,49915,49948,66,44,0,0,0,0,0,0,99876,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
31,2555,32.22410544457966,99997,14,6,1,0,87,56,0.0014300429012870386,4,2,49913,49947,67,44,0,0,0,0,0,0,99875,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
32,2555,33.21719008348245,99997,13,7,1,0,88,57,0.0014500435013050392,7,2,49909,49947,69,43,0,0,0,0,0,0,99873,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
33,2555,34.050843031704055,99997,11,8,1,0,89,58,0.0014700441013230398,7,1,49909,49947,71,43,0,0,0,0,0,0,99870,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
34,2555,35.28372128401551,99997,10,7,1,0,91,58,0.0014900447013410402,7,3,49907,49946,74,43,0,0,0,0,0,0,99866,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
35,2555,36.07718214436754,99997,11,6,1,0,92,58,0.0015000450013500405,8,3,49905,49946,74,44,0,0,0,0,0,0,99865,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
36,2555,37.06344345331558,99997,12,7,1,0,96,59,0.0015500465013950418,7,3,49902,49946,77,43,0,0,0,0,0,0,99862,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
37,2555,38.00192747323703,99997,12,7,1,0,97,61,0.0015800474014220427,7,2,49901,49945,78,45,0,0,0,0,0,0,99859,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
38,2555,39.152486118554194,99997,12,6,1,0,99,61,0.0016000480014400431,6,5,49900,49942,80,46,0,0,0,0,0,0,99856,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
39,2555,40.00817613178131,99997,14,7,1,0,101,63,0.0016400492014760444,5,3,49899,49942,80,47,0,0,0,0,0,0,99855,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
40,2555,41.165807894905946,99997,17,6,1,0,104,64,0.0016800504015120454,3,3,49898,49941,80,49,0,0,0,0,0,0,99853,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
41,2555,42.13171954765101,99997,16,7,1,0,105,66,0.001710051301539046,6,2,49894,49940,82,50,0,0,0,0,0,0,99850,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
42,2555,43.214960978011725,99997,17,8,1,0,107,67,0.001740052201566047,5,5,49895,49936,81,50,0,0,0,0,0,0,99849,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0
43,2555,44.06348818587915,99997,18,7,1,0,108,68,0.0017600528015840474,7,4,49892,49936,81,52,0,0,0,0,0,0,99847,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
44,2555,45.169501394911144,99997,19,7,1,0,110,69,0.0017900537016110483,6,3,49892,49936,81,53,0,0,0,0,0,0,99845,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0
45,2555,46.22415030514642,99997,19,8,1,0,113,71,0.0018400552016560497,8,2,49887,49936,84,53,0,0,0,0,0,0,99841,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0
46,2555,47.21886654879612,99997,18,7,1,0,114,72,0.0018600558016740503,9,1,49885,49937,86,54,0,0,0,0,0,0,99837,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
47,2555,48.08531218292657,99997,18,5,1,0,115,72,0.0018700561016830506,10,4,49883,49934,87,56,0,0,0,0,0,0,99834,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
48,2555,49.20988160258417,99997,18,6,1,0,118,73,0.0019100573017190516,8,4,49882,49933,90,56,0,0,0,0,0,0,99831,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
49,2555,50.02873749279257,99997,16,7,1,0,121,74,0.0019500585017550526,6,4,49881,49932,95,56,0,0,0,0,0,0,99826,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0
50,2555,51.1829249756808,99997,16,7,1,0,123,74,0.0019700591017730532,5,4,49880,49932,97,56,0,0,0,0,0,0,99824,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
51,2555,52.274230528919986,99997,17,7,1,0,125,74,0.001990059701791054,4,7,49880,49929,97,56,0,0,0,0,0,0,99823,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0
52,2555,53.05558624934401,99997,15,9,1,0,126,78,0.002040061201836055,5,3,49878,49930,100,57,0,0,0,0,0,0,99818,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0
53,2555,54.182083743240966,99997,10,9,1,0,129,80,0.0020900627018810565,3,5,49877,49926,108,59,0,0,0,0,0,0,99808,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0
54,2555,55.01382619215869,99997,11,9,1,0,130,82,0.0021200636019080574,6,3,49873,49926,108,61,0,0,0,0,0,0,99806,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0
55,2555,56.03513083202957,99997,13,8,1,0,132,83,0.002150064501935058,8,2,49870,49927,107,62,0,0,0,0,0,0,99804,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0
56,2555,57.08846495529565,99997,14,6,1,0,134,83,0.0021700651019530585,9,2,49867,49927,108,64,0,0,0,0,0,0,99801,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0
57,2555,58.19083334505271,99997,15,8,1,0,139,85,0.0022400672020160607,8,2,49863,49925,112,64,0,0,0,0,0,0,99797,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
58,2555,59.11739290781332,99997,15,7,1,0,140,86,0.002260067802034061,8,3,49862,49923,113,66,0,0,0,0,0,0,99794,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0
59,2555,60.03250847082856,99997,11,7,1,0,140,86,0.002260067802034061,9,4,49861,49922,117,66,0,0,0,0,0,0,99790,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0
60,2555,61.08808883536395,99997,12,8,1,0,142,88,0.002300069002070062,8,3,49860,49921,118,67,0,0,0,0,0,0,99788,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0
61,2555,62.08550835824959,99997,12,9,1,0,144,89,0.002330069902097063,7,4,49859,49919,120,67,0,0,0,0,0,0,99786,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0
62,2555,63.08642580587456,99997,14,8,1,0,146,89,0.0023500705021150636,7,5,49858,49918,119,68,0,0,0,0,0,0,99785,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0
63,2555,64.30114294712219,99997,13,8,1,0,147,90,0.002370071102133064,8,5,49858,49917,119,69,0,0,0,0,0,0,99782,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
64,2555,65.03107905448857,99997,13,7,1,0,148,90,0.002380071402142064,7,5,49858,49918,120,69,0,0,0,0,0,0,99780,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0
65,2555,66.10627926998468,99997,14,8,1,0,150,92,0.0024200726021780653,7,3,49856,49918,121,70,0,0,0,0,0,0,99778,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0
66,2555,67.09634055311483,99997,15,6,1,0,151,93,0.002440073202196066,7,2,49855,49918,121,73,0,0,0,0,0,0,99775,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0
67,2555,68.1864171845731,99997,15,6,1,0,154,93,0.002470074102223067,6,3,49853,49917,124,73,0,0,0,0,0,0,99772,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0
68,2555,69.1447977273655,99997,13,7,1,0,155,94,0.002490074702241067,6,3,49854,49916,125,73,0,0,0,0,0,0,99769,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
69,2555,70.1560171554812,99997,12,7,1,0,156,94,0.0025000750022500674,6,3,49853,49916,127,73,0,0,0,0,0,0,99767,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0
70,2555,71.01869159452822,99997,11,5,1,0,158,94,0.002520075602268068,6,4,49851,49915,130,75,0,0,0,0,0,0,99762,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0
