,indexID,time,N,Inf_L,Inf_H,Dead_L,Dead_H,cum_cases_L,cum_cases_H,cum_sum_per_N,Exposed_L,Exposed_H,Sus_L,Sus_H,Rec_nat_L,Rec_nat_H,Rec_vax_L,Rec_vax_H,vaccinatedH,vaccinatedL,boostedH,boostedL,count_Naive,count_Delta,count_Delta_vaccine,count_two,count_three,count_four,count_Omicron,count_Omicron_star,count_Omicron_star_vaccine,count_Omicron_vaccine,count_Vaccine,count_WT,count_WT_vaccine,count_WT_vaccine_boost,count_Omicron_vaccine_boost,count_Delta_vaccine_boost,count_Omicron_star_vaccine_boost,count_Vaccine_boost
0,972,1.0479472185384309,99996,7,6,0,0,7,7,0.00014000560022400896,18,18,49973,49973,0,1,0,0,0,0,0,0,99995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,972,2.013979098261108,99996,13,12,0,0,15,13,0.0002800112004480179,14,13,49969,49972,2,1,0,0,0,0,0,0,99993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2,972,3.0053814252122177,99996,13,14,0,0,18,16,0.00034001360054402175,13,12,49967,49970,5,2,0,0,0,0,0,0,99989,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
3,972,4.140665275068746,99996,16,13,0,0,23,17,0.0004000160006400256,11,12,49964,49969,7,4,0,0,0,0,0,0,99985,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
4,972,5.016198051772399,99996,17,13,0,0,26,19,0.0004500180007200288,9,15,49963,49964,9,6,0,0,0,0,0,0,99981,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
5,972,6.015175292982301,99996,16,15,0,0,27,22,0.0004900196007840313,10,12,49961,49964,11,7,0,0,0,0,0,0,99978,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
6,972,7.003723741843902,99996,19,16,0,0,32,26,0.0005800232009280372,10,10,49956,49962,13,10,0,0,0,0,0,0,99973,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
7,972,8.007897734063596,99996,17,16,0,0,34,27,0.0006100244009760391,12,10,49952,49961,17,11,0,0,0,0,0,0,99968,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
8,972,9.00191643566856,99996,15,18,0,0,36,33,0.0006900276011040442,14,5,49948,49960,21,15,0,0,0,0,0,0,99960,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
9,972,10.08170573777637,99996,19,17,0,0,43,35,0.00078003120124805,10,4,49945,49959,24,18,0,0,0,0,0,0,99954,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
10,972,11.126762122528842,99996,18,14,0,0,44,36,0.0008000320012800512,13,4,49941,49958,26,22,0,0,0,0,0,0,99948,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
11,972,12.257852661595637,99996,22,13,0,0,49,36,0.0008500340013600544,10,5,49939,49958,27,22,0,0,0,0,0,0,99946,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
12,972,13.120136362484336,99996,21,13,0,0,49,37,0.0008600344013760551,11,5,49938,49957,28,23,0,0,0,0,0,0,99944,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
13,972,14.111660587500259,99996,19,12,0,0,50,37,0.0008700348013920557,12,5,49936,49957,31,24,0,0,0,0,0,0,99940,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
14,972,15.01842684851977,99995,17,11,1,0,52,39,0.0009100455022751137,15,3,49932,49957,33,27,0,0,0,0,0,0,99933,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
15,972,16.118452476541968,99995,15,10,1,0,54,40,0.0009400470023501176,16,3,49930,49956,36,29,0,0,0,0,0,0,99927,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
16,972,17.261415492116924,99995,16,10,1,0,57,40,0.0009700485024251213,18,6,49925,49953,38,29,0,0,0,0,0,0,99925,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
17,972,18.087788991680828,99995,18,12,1,0,61,42,0.0010300515025751288,16,5,49923,49952,40,29,0,0,0,0,0,0,99923,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
18,972,19.131741194105537,99995,17,12,1,0,64,43,0.0010700535026751338,15,6,49921,49950,44,30,0,0,0,0,0,0,99918,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
19,972,20.032620327447393,99994,17,11,2,0,68,46,0.0011400684041042463,15,7,49917,49946,47,34,0,0,0,0,0,0,99910,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
20,972,21.284245427022302,99994,20,12,2,0,71,49,0.0012000720043202592,16,6,49913,49944,47,36,0,0,0,0,0,0,99908,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
21,972,22.09795839933757,99994,19,13,2,0,74,50,0.001240074404464268,15,6,49911,49943,51,36,0,0,0,0,0,0,99904,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
22,972,23.086554898786048,99994,20,12,2,0,76,52,0.0012800768046082765,14,6,49910,49941,52,39,0,0,0,0,0,0,99900,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
23,972,24.101097199184654,99994,22,10,2,0,82,52,0.0013400804048242895,14,8,49904,49939,56,41,0,0,0,0,0,0,99894,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
24,972,25.076079742541125,99994,24,11,2,0,86,55,0.0014100846050763046,12,5,49902,49939,58,43,0,0,0,0,0,0,99890,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
25,972,26.078742212421748,99994,23,10,2,0,87,56,0.001430085805148309,17,6,49896,49937,60,45,0,0,0,0,0,0,99886,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
26,972,27.020682170283703,99994,22,12,2,0,91,59,0.001500090005400324,18,3,49891,49937,65,46,0,0,0,0,0,0,99880,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
27,972,28.098257705118343,99994,24,11,2,0,95,59,0.0015400924055443326,16,5,49890,49935,66,47,0,0,0,0,0,0,99877,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0
28,972,29.052110642186875,99994,23,9,2,0,98,60,0.0015800948056883413,16,4,49888,49935,69,50,0,0,0,0,0,0,99870,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
29,972,30.054620788218074,99994,25,11,2,0,103,62,0.0016500990059403564,15,7,49885,49930,71,50,0,0,0,0,0,0,99867,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
30,972,31.153949698861105,99994,25,10,2,0,110,63,0.0017301038062283738,17,10,49877,49926,77,52,0,0,0,0,0,0,99858,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0
31,972,32.030019238688226,99994,29,9,2,0,114,64,0.0017801068064083846,14,12,49876,49923,77,54,0,0,0,0,0,0,99856,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
32,972,33.04170738695672,99994,27,10,2,0,118,68,0.0018601116066964017,18,10,49868,49921,83,57,0,0,0,0,0,0,99847,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
33,972,34.22920107708325,99994,27,12,2,0,124,72,0.0019601176070564233,17,8,49864,49919,88,59,0,0,0,0,0,0,99839,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0
