,indexID,time,N,Inf_L,Inf_H,Dead_L,Dead_H,cum_cases_L,cum_cases_H,cum_sum_per_N,Exposed_L,Exposed_H,Sus_L,Sus_H,Rec_nat_L,Rec_nat_H,Rec_vax_L,Rec_vax_H,vaccinatedH,vaccinatedL,boostedH,boostedL,count_Naive,count_Delta,count_Delta_vaccine,count_two,count_three,count_four,count_Omicron,count_Omicron_star,count_Omicron_star_vaccine,count_Omicron_vaccine,count_Vaccine,count_WT,count_WT_vaccine,count_WT_vaccine_boost,count_Omicron_vaccine_boost,count_Delta_vaccine_boost,count_Omicron_star_vaccine_boost,count_Vaccine_boost
0,4976,1.1670304913500291,99996,6,3,0,0,6,6,0.00012000480019200768,19,19,49973,49973,0,3,0,0,0,0,0,0,99993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,4976,2.0512285217313075,99996,11,8,0,0,14,12,0.00026001040041601667,13,13,49971,49973,3,4,0,0,0,0,0,0,99989,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2,4976,3.015969300040472,99996,12,10,0,0,16,16,0.0003200128005120205,12,11,49970,49971,4,6,0,0,0,0,0,0,99986,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
3,4976,4.135468179276595,99996,13,12,0,0,21,20,0.00041001640065602623,8,7,49969,49971,8,8,0,0,0,0,0,0,99980,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
4,4976,5.024554232699437,99996,13,11,0,0,22,21,0.00043001720068802754,13,7,49963,49970,9,10,0,0,0,0,0,0,99977,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
5,4976,6.031525576053311,99996,15,11,0,0,26,22,0.0004800192007680307,11,8,49962,49968,10,11,0,0,0,0,0,0,99974,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
6,4976,7.001954628399578,99995,16,11,1,0,29,24,0.0005300265013250663,10,7,49960,49967,11,13,0,0,0,0,0,0,99970,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
7,4976,8.067904957914875,99995,18,12,1,0,32,26,0.0005800290014500725,8,7,49959,49965,12,14,0,0,0,0,0,0,99968,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
8,4976,9.007729417746148,99995,16,11,1,0,32,26,0.0005800290014500725,11,8,49956,49964,14,15,0,0,0,0,0,0,99965,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
9,4976,10.08305180960225,99995,15,15,1,0,36,32,0.000680034001700085,10,3,49953,49963,19,17,0,0,0,0,0,0,99958,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
10,4976,11.067095866861935,99995,14,14,1,0,37,32,0.0006900345017250862,15,4,49947,49962,21,18,0,0,0,0,0,0,99955,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11,4976,12.09581700785476,99995,12,13,1,0,37,33,0.0007000350017500875,19,5,49943,49960,23,20,0,0,0,0,0,0,99951,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
12,4976,13.25719068993912,99995,12,13,1,0,39,35,0.0007400370018500925,21,6,49939,49957,25,22,0,0,0,0,0,0,99947,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
13,4976,14.00858096275254,99995,17,13,1,0,45,36,0.0008100405020251012,18,7,49936,49955,26,23,0,0,0,0,0,0,99945,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
14,4976,15.004768665951909,99995,17,14,1,0,49,38,0.0008700435021751087,15,7,49935,49953,30,24,0,0,0,0,0,0,99940,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
15,4976,16.017346688631918,99995,16,16,1,0,53,41,0.0009400470023501176,12,6,49934,49951,35,25,0,0,0,0,0,0,99934,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
16,4976,17.30194751361133,99995,17,13,1,0,56,42,0.0009800490024501226,11,6,49933,49950,36,29,0,0,0,0,0,0,99928,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
17,4976,18.01413661909847,99995,18,13,1,0,59,43,0.0010200510025501275,12,6,49929,49949,38,30,0,0,0,0,0,0,99925,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
18,4976,19.140750159407744,99995,24,10,1,0,65,44,0.0010900545027251363,11,8,49924,49946,38,34,0,0,0,0,0,0,99921,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
19,4976,20.0569847450945,99995,27,11,1,0,70,47,0.0011700585029251463,11,7,49920,49945,39,35,0,0,0,0,0,0,99917,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
20,4976,21.00093974845744,99995,26,11,1,0,72,48,0.00120006000300015,14,7,49915,49944,42,36,0,0,0,0,0,0,99913,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
21,4976,22.117274168209214,99995,18,9,1,0,74,49,0.0012300615030751538,15,6,49912,49944,52,39,0,0,0,0,0,0,99900,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0
22,4976,23.149262632774327,99995,18,11,1,0,76,51,0.0012700635031751588,18,6,49908,49942,53,39,0,0,0,0,0,0,99898,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
23,4976,24.081118337660456,99995,18,12,1,0,78,52,0.0013000650032501625,17,5,49907,49943,55,38,0,0,0,0,0,0,99896,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
24,4976,25.03194354306761,99995,23,13,1,0,83,54,0.0013700685034251712,15,6,49904,49941,55,38,0,0,0,0,0,0,99895,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
25,4976,26.099991621809767,99995,23,11,1,0,88,56,0.00144007200360018,14,7,49900,49938,60,42,0,0,0,0,0,0,99886,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
26,4976,27.082421918464295,99995,22,9,1,0,92,56,0.001480074003700185,12,10,49898,49935,65,44,0,0,0,0,0,0,99879,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0
27,4976,28.049699529905418,99995,22,9,1,0,94,59,0.0015300765038251912,13,8,49895,49934,67,47,0,0,0,0,0,0,99874,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
28,4976,29.040024553079085,99995,21,10,1,0,97,61,0.0015800790039501974,12,8,49893,49932,71,48,0,0,0,0,0,0,99869,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0
29,4976,30.12861511343058,99995,18,13,1,0,103,65,0.00168008400420021,11,8,49889,49928,79,49,0,0,0,0,0,0,99859,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0
30,4976,31.046335225629036,99995,19,14,1,0,105,66,0.0017100855042752137,12,9,49886,49926,80,49,0,0,0,0,0,0,99858,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0
31,4976,32.028666784872016,99995,20,15,1,0,109,68,0.0017700885044252212,12,7,49882,49926,83,50,0,0,0,0,0,0,99854,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
32,4976,33.02985330419952,99995,19,10,1,0,111,69,0.001800090004500225,10,6,49883,49926,85,56,0,0,0,0,0,0,99845,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
33,4976,34.026665814329014,99995,17,11,1,0,113,71,0.00184009200460023,10,6,49881,49924,89,57,0,0,0,0,0,0,99840,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0
34,4976,35.0044562390927,99995,15,10,1,0,114,71,0.0018500925046252312,12,7,49878,49923,92,58,0,0,0,0,0,0,99836,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0
35,4976,36.08081160754595,99995,16,14,1,0,117,78,0.0019500975048752439,12,3,49875,49920,94,61,0,0,0,0,0,0,99831,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0
36,4976,37.039547773320955,99995,17,13,1,0,121,78,0.0019900995049752486,12,5,49871,49918,97,62,0,0,0,0,0,0,99827,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
37,4976,38.04994710140592,99995,16,10,1,0,122,79,0.002010100505025251,15,5,49867,49917,99,66,0,0,0,0,0,0,99821,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0
