,indexID,time,N,Inf_L,Inf_H,Dead_L,Dead_H,cum_cases_L,cum_cases_H,cum_sum_per_N,Exposed_L,Exposed_H,Sus_L,Sus_H,Rec_nat_L,Rec_nat_H,Rec_vax_L,Rec_vax_H,vaccinatedH,vaccinatedL,boostedH,boostedL,count_Naive,count_Delta,count_Delta_vaccine,count_two,count_three,count_four,count_Omicron,count_Omicron_star,count_Omicron_star_vaccine,count_Omicron_vaccine,count_Vaccine,count_WT,count_WT_vaccine,count_WT_vaccine_boost,count_Omicron_vaccine_boost,count_Delta_vaccine_boost,count_Omicron_star_vaccine_boost,count_Vaccine_boost
0,4010,1.317742668244122,99996,3,8,0,0,3,8,0.00011000440017600704,23,18,49972,49972,0,0,0,0,0,0,0,0,99996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4010,2.1231734761066874,99996,10,9,0,0,10,10,0.0002000080003200128,18,16,49970,49972,0,1,0,0,0,0,0,0,99995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,4010,3.01311431289476,99996,10,10,0,0,13,12,0.000250010000400016,15,16,49970,49970,3,2,0,0,0,0,0,0,99991,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
3,4010,4.142079161679426,99996,7,11,0,0,13,13,0.00026001040041601667,17,15,49968,49970,6,2,0,0,0,0,0,0,99988,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
4,4010,5.086280490119457,99996,8,14,0,0,16,17,0.0003300132005280211,16,12,49966,49969,8,3,0,0,0,0,0,0,99985,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
5,4010,6.006545857406186,99996,9,19,0,0,19,25,0.00044001760070402814,15,5,49964,49968,10,6,0,0,0,0,0,0,99980,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
6,4010,7.034144369044647,99996,10,15,0,0,23,26,0.0004900196007840313,17,5,49958,49967,13,11,0,0,0,0,0,0,99972,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
7,4010,8.021677934853635,99996,12,14,0,0,26,28,0.0005400216008640345,14,4,49958,49966,14,14,0,0,0,0,0,0,99968,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
8,4010,9.00157370314398,99996,13,9,0,0,29,28,0.0005700228009120365,14,4,49955,49966,16,19,0,0,0,0,0,0,99961,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
9,4010,10.017195985736207,99996,16,8,0,0,32,29,0.0006100244009760391,14,6,49952,49964,16,20,0,0,0,0,0,0,99959,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
10,4010,11.060926409045827,99996,14,8,0,0,35,32,0.0006700268010720429,11,4,49952,49963,21,23,0,0,0,0,0,0,99951,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
11,4010,12.018767365804862,99996,15,8,0,0,37,33,0.0007000280011200448,10,4,49951,49962,22,24,0,0,0,0,0,0,99949,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
12,4010,13.042902186726849,99996,16,9,0,0,39,34,0.0007300292011680467,10,4,49949,49961,23,24,0,0,0,0,0,0,99948,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
13,4010,14.048750521478928,99996,16,10,0,0,40,35,0.000750030001200048,12,4,49946,49960,24,24,0,0,0,0,0,0,99947,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
14,4010,15.115182124733094,99996,19,10,0,0,44,36,0.0008000320012800512,11,5,49943,49958,25,25,0,0,0,0,0,0,99945,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
15,4010,16.017483904116798,99996,16,11,0,0,44,38,0.0008200328013120525,11,3,49943,49958,28,26,0,0,0,0,0,0,99941,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
16,4010,17.10687294364592,99996,17,11,0,0,46,40,0.0008600344013760551,12,3,49940,49956,29,28,0,0,0,0,0,0,99938,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
17,4010,18.034825803366687,99996,17,12,0,0,48,42,0.0009000360014400576,13,4,49937,49953,31,29,0,0,0,0,0,0,99935,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
18,4010,19.0902885876043,99996,16,14,0,0,50,46,0.0009600384015360614,14,2,49934,49951,34,31,0,0,0,0,0,0,99930,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
19,4010,20.11339078503351,99996,12,11,0,0,53,47,0.001000040001600064,13,1,49932,49951,41,35,0,0,0,0,0,0,99919,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
20,4010,21.032177395881856,99996,15,11,0,0,57,48,0.0010500420016800673,12,1,49929,49950,42,36,0,0,0,0,0,0,99917,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
21,4010,22.15565608467454,99996,18,9,0,0,61,48,0.0010900436017440697,14,2,49923,49949,43,38,0,0,0,0,0,0,99914,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
22,4010,23.088477488656363,99996,18,9,0,0,63,50,0.0011300452018080723,14,2,49921,49947,45,40,0,0,0,0,0,0,99910,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
23,4010,24.015147645619177,99996,17,7,0,0,66,50,0.0011600464018560743,14,2,49918,49947,49,42,0,0,0,0,0,0,99904,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
24,4010,25.15665913418343,99996,16,7,0,0,71,50,0.0012100484019360775,11,3,49917,49946,54,42,0,0,0,0,0,0,99898,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
25,4010,26.326174089077412,99996,16,7,0,0,73,52,0.00125005000200008,13,2,49913,49945,56,44,0,0,0,0,0,0,99894,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
26,4010,27.10238441314179,99996,16,7,0,0,74,52,0.0012600504020160806,17,2,49908,49945,57,44,0,0,0,0,0,0,99893,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
27,4010,28.186800717231,99996,18,7,0,0,76,52,0.001280051202048082,17,3,49906,49945,57,43,0,0,0,0,0,0,99893,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
28,4010,29.0187208972367,99996,21,6,0,0,79,52,0.0013100524020960838,18,4,49902,49944,57,44,0,0,0,0,0,0,99892,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
29,4010,30.033094119120175,99996,21,7,0,0,82,54,0.001360054402176087,17,3,49900,49945,60,43,0,0,0,0,0,0,99888,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
30,4010,31.296584804507642,99996,20,8,0,0,84,56,0.0014000560022400896,16,3,49899,49943,63,44,0,0,0,0,0,0,99884,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
31,4010,32.02138913772726,99996,21,9,0,0,86,58,0.0014400576023040922,15,2,49898,49942,64,45,0,0,0,0,0,0,99882,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
32,4010,33.086244559426035,99996,20,10,0,0,88,60,0.0014800592023680947,20,3,49891,49939,67,46,0,0,0,0,0,0,99878,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0
33,4010,34.2438499918247,99996,26,9,0,0,97,60,0.0015700628025121005,15,5,49888,49938,69,46,0,0,0,0,0,0,99874,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
34,4010,35.14140511389056,99996,26,9,0,0,100,61,0.0016100644025761031,13,7,49887,49935,72,47,0,0,0,0,0,0,99870,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0
35,4010,36.14896028842072,99996,28,10,0,0,108,62,0.0017000680027201088,9,9,49884,49932,77,47,0,0,0,0,0,0,99864,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
36,4010,37.133826917239595,99996,28,12,0,0,112,65,0.0017700708028321132,7,7,49883,49932,80,47,0,0,0,0,0,0,99859,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0
37,4010,38.05010302099243,99996,27,15,0,0,115,70,0.0018500740029601184,11,9,49877,49925,83,49,0,0,0,0,0,0,99853,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0
38,4010,39.0162277438827,99996,31,19,0,0,119,74,0.0019300772030881235,13,8,49871,49922,83,49,0,0,0,0,0,0,99853,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0
39,4010,40.02642513505423,99996,29,21,0,0,121,78,0.0019900796031841273,15,10,49868,49916,86,51,0,0,0,0,0,0,99847,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0
40,4010,41.32480213107127,99996,27,17,0,0,126,81,0.0020700828033121325,17,11,49861,49913,93,57,0,0,0,0,0,0,99833,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
41,4010,42.00297857142903,99996,29,18,0,0,128,83,0.002110084403376135,18,10,49858,49912,93,58,0,0,0,0,0,0,99832,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0
