Age,SES,cfr_githubm,cfr_githubl,cfr_githubh,cases_age_github
0-40,42.89,0.002056386,0.00185641,0.002381837,9769.142374
40-60,42.89,0.017786299,0.014045891,0.023060125,4183.316802
60-80,42.89,0.162990074,0.104934635,0.253234898,1327.282482
60-80,42.89,0.553580318,0.226032424,0.967961225,366.6098616
0-40,35.64,0.002940372,0.002592186,0.003436809,1710.405687
40-60,35.64,0.01474169,0.012061936,0.017943532,1029.53929
60-80,35.64,0.102509588,0.063077482,0.164713457,412.5773031
60-80,35.64,0.437721449,0.196675183,0.869330748,93.11372422
0-40,18.96,0.00388862,0.003337098,0.004508075,3624.10791
40-60,18.96,0.02109116,0.017363166,0.025967185,2257.011905
60-80,18.96,0.226116584,0.165693849,0.322328386,988.2027709
60-80,18.96,0.544809815,0.220456209,0.975946404,201.9371036
0-40,22.94,0.001537996,0.001353384,0.001862672,3270.901044
40-60,22.94,0.020790989,0.016960326,0.026287292,2099.628128
60-80,22.94,0.15654302,0.105966793,0.225708968,929.6204667
60-80,22.94,0.468982514,0.239830879,0.780976722,275.953301
0-40,25.37,0.001122656,9.95E-04,0.001274424,3578.75988
40-60,25.37,0.011590556,0.009558466,0.014380457,2096.777791
60-80,25.37,0.158640673,0.110508975,0.220541684,996.7137441
60-80,25.37,0.597841294,0.27804676,0.936721965,191.0616623
0-40,30.11,0.002844139,0.002580499,0.003304499,3531.183049
40-60,30.11,0.017444463,0.014705898,0.021669231,1968.974503
60-80,30.11,0.15674332,0.10383588,0.235062634,816.4134626
60-80,30.11,0.314671409,0.139276928,0.68767876,237.4007901
0-40,41.94,0.001373816,0.001178396,0.001582235,2197.341464
40-60,41.94,0.019806124,0.016109202,0.02487927,1381.722935
60-80,41.94,0.205672278,0.140525661,0.309030693,451.6994158
60-80,41.94,0.70940745,0.369909059,0.98649303,90.19574505
0-40,28.64,0.002302337,0.002028815,0.002605009,3926.871636
40-60,28.64,0.025399658,0.020117817,0.033867694,1925.386219
60-80,28.64,0.19892207,0.136032672,0.27893123,777.7241405
60-80,28.64,0.629752558,0.300384057,0.969137395,245.8975306
0-40,33.07,0.001719683,0.001508147,0.002132246,1757.355895
40-60,33.07,0.01444367,0.011169587,0.019298577,1057.662925
60-80,33.07,0.131023455,0.090379422,0.194548513,519.2282651
60-80,33.07,0.6050477,0.289941019,0.954674889,164.5047234
0-40,40.72,0.001681444,0.001481959,0.001913714,7175.645079
40-60,40.72,0.012916611,0.010619594,0.016573389,4471.474048
60-80,40.72,0.139574368,0.095137771,0.196607663,2421.461049
60-80,40.72,0.538807255,0.229034231,0.917681489,412.6095166
0-40,29.86,8.20E-04,7.11E-04,9.63E-04,3684.314307
40-60,29.86,0.018540502,0.01494311,0.023864376,2302.328818
60-80,29.86,0.136927019,0.083599329,0.201315801,1066.264663
60-80,29.86,0.351444957,0.153691438,0.677573021,239.0705373
0-40,16.97,0.002527013,0.002246122,0.002853805,6356.602228
40-60,16.97,0.021328922,0.017525759,0.026136528,3225.76419
60-80,16.97,0.17562159,0.118842393,0.2523059,1351.81206
60-80,16.97,0.529452796,0.223305146,0.872786754,190.2111104
0-40,67.52,0,0,0,1147.762381
40-60,67.52,0.010148862,0.008190412,0.012708872,799.1109448
60-80,67.52,0.083198203,0.058578266,0.128517938,362.9274753
60-80,67.52,0.629323149,0.332773409,0.962168462,119.9455424
0-40,88.32,9.89E-04,8.44E-04,0.001171575,3054.840045
40-60,88.32,0.00841849,0.006815274,0.010357637,1930.773107
60-80,88.32,0.096432625,0.066290602,0.146549266,976.4036333
60-80,88.32,0.717769702,0.403587784,0.991017711,402.0617964
0-40,68,0,0,0,1920.997372
40-60,68,0.006494155,0.005311794,0.008128372,1246.956444
60-80,68,0.09572871,0.064742342,0.147219001,362.0693165
60-80,68,0.6749615,0.395298301,0.942262656,83.99453076
0-40,18.22,0.002175009,0.00190686,0.002605301,2316.575111
40-60,18.22,0.03014078,0.023725575,0.037926274,1446.18092
60-80,18.22,0.184860231,0.125413625,0.282952202,637.0400498
60-80,18.22,0.427746883,0.188754964,0.877487658,167.1554816
0-40,24.46,0.001160384,0.001024305,0.00134187,2600.955715
40-60,24.46,0.016404169,0.012762319,0.020228005,1666.59182
60-80,24.46,0.115289076,0.074138223,0.16970557,856.4428333
60-80,24.46,0.395537974,0.183564436,0.850560347,174.6405072
