Age,SES,lam,lau,lal
0-40,35.64,0.035838961,0.050298713,0.025918301
40-60,35.64,0.423310789,0.552486478,0.322007996
60-80,35.64,2.415094136,2.988546653,1.910499746
80+,35.64,9.953218096,12.30010011,7.9236298
0-40,18.96,0.058878373,0.081720724,0.042707713
40-60,18.96,0.630771485,0.78660474,0.504118097
60-80,18.96,4.578874947,5.34389735,3.981704761
80+,18.96,12.0217005,14.39497449,10.08567934
0-40,22.94,0.046563805,0.064285012,0.0334477
40-60,22.94,0.610588644,0.773320501,0.483581108
60-80,22.94,3.519331025,4.218860823,2.943837586
80+,22.94,11.31953307,13.58993093,9.43405359
0-40,25.37,0.041930401,0.057388741,0.030236081
40-60,25.37,0.442084785,0.562543585,0.338840777
60-80,25.37,3.404451584,4.031474898,2.857083224
80+,25.37,11.97417243,14.36020799,9.968809488
0-40,30.11,0.041531162,0.056647081,0.030578376
40-60,30.11,0.463515409,0.582110765,0.366190602
60-80,30.11,2.910636346,3.420941141,2.454334277
80+,30.11,7.777757422,9.441134413,6.268139385
0-40,41.94,0.028121285,0.039251157,0.020182296
40-60,41.94,0.39690144,0.512643809,0.309390693
60-80,41.94,3.026712003,3.695615368,2.510460303
80+,41.94,12.80548435,15.77367994,10.48565933
0-40,28.64,0.042639621,0.058168957,0.031322644
40-60,28.64,0.606681026,0.766728413,0.484653941
60-80,28.64,3.792456167,4.445079618,3.256706302
80+,28.64,14.2345045,16.7435447,12.20100456
0-40,33.07,0.036259058,0.05031206,0.026165036
40-60,33.07,0.429720103,0.5585365,0.328068839
60-80,33.07,2.632679958,3.207763278,2.13419023
80+,33.07,11.95951864,14.4373293,9.905982615
0-40,40.72,0.029846736,0.0402905,0.02211596
40-60,40.72,0.34890024,0.430162177,0.280847864
60-80,40.72,2.751265387,3.192168799,2.36289692
80+,40.72,10.94614394,12.81809953,9.309227556
0-40,29.86,0.037950855,0.05212589,0.027371257
40-60,29.86,0.574599288,0.733193062,0.455113691
60-80,29.86,3.481230741,4.153355745,2.948585273
80+,29.86,10.28181155,12.44835593,8.467754739
0-40,16.97,0.059483072,0.0812791,0.043629209
40-60,16.97,0.704079388,0.864940719,0.574290846
60-80,16.97,4.18398914,4.842666137,3.658314307
80+,16.97,13.98773463,16.91064033,11.66448062
0-40,67.52,0.01374004,0.021723479,0.008638465
40-60,67.52,0.202429537,0.27920987,0.146510294
60-80,67.52,1.348364703,1.706958821,1.045412319
80+,67.52,10.78230616,13.10447771,8.815167116
0-40,88.32,0.008171189,0.014660261,0.00443154
40-60,88.32,0.12695704,0.177762519,0.08976004
60-80,88.32,1.041061321,1.280381984,0.835937212
80+,88.32,11.09800996,12.9181185,9.26205423
0-40,68,0.013413657,0.021122334,0.008400781
40-60,68,0.188076684,0.256725188,0.136406848
60-80,68,1.488174845,1.897812183,1.155227258
80+,68,12.30315786,15.42844435,9.871937807
0-40,18.22,0.054031273,0.075991389,0.038204435
40-60,18.22,0.745489318,0.957296931,0.586101103
60-80,18.22,4.003947574,4.851239569,3.316383039
80+,18.22,10.05201438,12.3614216,8.118135797
0-40,24.46,0.044744782,0.062288623,0.031938643
40-60,24.46,0.559976214,0.721189524,0.43365054
60-80,24.46,3.167991352,3.837695379,2.588747144
80+,24.46,10.47886306,12.84523512,8.460951128
0-40,44.98,0.025012117,0.035127288,0.017676652
40-60,44.98,0.36910429,0.481732545,0.284664985
60-80,44.98,2.158890994,2.616974031,1.756669094
80+,44.98,9.674271167,11.63985188,7.911910225
0-40,41.61,0.02766884,0.036760528,0.020666397
40-60,41.61,0.35441996,0.427473959,0.292852706
60-80,41.61,2.596596211,2.997267099,2.233342735
80+,41.61,12.75018722,14.8665299,10.90539229
0-40,62.64,0.015949765,0.02398592,0.01050359
40-60,62.64,0.220934049,0.290706504,0.166773508
60-80,62.64,1.672615459,2.01341565,1.3801657
80+,62.64,11.27377361,13.12566565,9.583217082
0-40,30.51,0.039117861,0.054172128,0.028265209
40-60,30.51,0.456545098,0.587450618,0.351405954
60-80,30.51,3.730951334,4.497357977,3.129312276
